id,domain,priority,ko,vi,plain_ko,risk_level,type,status
VIT0001,manufacturing_machine,core,프레스,máy dập,프레스,normal,base_term,seed_needs_native_field_review
VIT0002,manufacturing_machine,core,사출기,máy ép nhựa,사출기,normal,base_term,seed_needs_native_field_review
VIT0003,manufacturing_machine,core,컨베이어,băng tải,컨베이어,normal,base_term,seed_needs_native_field_review
VIT0004,manufacturing_machine,core,롤러,con lăn,롤러,normal,base_term,seed_needs_native_field_review
VIT0005,manufacturing_machine,core,절단기,máy cắt,절단기,normal,base_term,seed_needs_native_field_review
VIT0006,manufacturing_machine,core,파쇄기,máy nghiền,파쇄기,normal,base_term,seed_needs_native_field_review
VIT0007,manufacturing_machine,core,압축기,máy ép nén,압축기,normal,base_term,seed_needs_native_field_review
VIT0008,manufacturing_machine,core,혼합기,máy trộn,혼합기,normal,base_term,seed_needs_native_field_review
VIT0009,manufacturing_machine,core,포장기,máy đóng gói,포장기,normal,base_term,seed_needs_native_field_review
VIT0010,manufacturing_machine,core,선반,máy tiện,선반,normal,base_term,seed_needs_native_field_review
VIT0011,manufacturing_machine,core,밀링기,máy phay,밀링기,normal,base_term,seed_needs_native_field_review
VIT0012,manufacturing_machine,core,드릴,máy khoan,드릴,normal,base_term,seed_needs_native_field_review
VIT0013,manufacturing_machine,core,그라인더,máy mài,그라인더,normal,base_term,seed_needs_native_field_review
VIT0014,manufacturing_machine,core,용접기,máy hàn,용접기,normal,base_term,seed_needs_native_field_review
VIT0015,manufacturing_machine,core,에어건,súng hơi,에어건,normal,base_term,seed_needs_native_field_review
VIT0016,manufacturing_machine,core,콤프레서,máy nén khí,콤프레서,normal,base_term,seed_needs_native_field_review
VIT0017,manufacturing_machine,core,지그,đồ gá,지그,normal,base_term,seed_needs_native_field_review
VIT0018,manufacturing_machine,core,금형,khuôn,금형,normal,base_term,seed_needs_native_field_review
VIT0019,manufacturing_machine,core,로봇암,cánh tay robot,로봇암,normal,base_term,seed_needs_native_field_review
VIT0020,manufacturing_machine,core,CNC,máy CNC,CNC,normal,base_term,seed_needs_native_field_review
VIT0021,manufacturing_machine,core,호이스트,pa lăng,호이스트,normal,base_term,seed_needs_native_field_review
VIT0022,manufacturing_machine,core,전동공구,dụng cụ điện,전동공구,normal,base_term,seed_needs_native_field_review
VIT0023,manufacturing_machine,core,작업대,bàn làm việc,작업대,normal,base_term,seed_needs_native_field_review
VIT0024,manufacturing_machine,core,공구함,hộp dụng cụ,공구함,normal,base_term,seed_needs_native_field_review
VIT0025,manufacturing_machine,core,톱날,lưỡi cưa,톱날,normal,base_term,seed_needs_native_field_review
VIT0026,manufacturing_machine,core,칼날,lưỡi dao,칼날,normal,base_term,seed_needs_native_field_review
VIT0027,manufacturing_machine,core,드릴 비트,mũi khoan,드릴 비트,normal,base_term,seed_needs_native_field_review
VIT0028,manufacturing_machine,core,기리,mũi khoan,기리,normal,base_term,seed_needs_native_field_review
