id,domain,risk_level,ko,vi,normalized_ko,term_refs,status
VIS0001,manufacturing_machine,normal,프레스 확인하고 시작하세요.,Hãy kiểm tra máy dập rồi bắt đầu.,프레스 확인하고 시작하세요.,VIT0001,seed_needs_native_field_review
VIS0002,manufacturing_machine,normal,프레스 문제 있으면 바로 말하세요.,"Nếu máy dập có vấn đề, hãy báo ngay.",프레스 문제 있으면 바로 말하세요.,VIT0001,seed_needs_native_field_review
VIS0003,manufacturing_machine,normal,프레스 작업 전 안전 상태를 확인하세요.,"Trước khi làm máy dập, hãy kiểm tra tình trạng an toàn.",프레스 작업 전 안전 상태를 확인하세요.,VIT0001,seed_needs_native_field_review
VIS0004,manufacturing_machine,normal,프레스 끝나면 관리자에게 보고하세요.,"Khi xong máy dập, hãy báo cho quản lý.",프레스 끝나면 관리자에게 보고하세요.,VIT0001,seed_needs_native_field_review
VIS0005,manufacturing_machine,normal,프레스는 따로 보관하세요.,Hãy bảo quản riêng máy dập.,프레스는 따로 보관하세요.,VIT0001,seed_needs_native_field_review
VIS0006,manufacturing_machine,normal,프레스 주변을 정리하세요.,Hãy dọn dẹp xung quanh máy dập.,프레스 주변을 정리하세요.,VIT0001,seed_needs_native_field_review
VIS0007,manufacturing_machine,normal,사출기 확인하고 시작하세요.,Hãy kiểm tra máy ép nhựa rồi bắt đầu.,사출기 확인하고 시작하세요.,VIT0002,seed_needs_native_field_review
VIS0008,manufacturing_machine,normal,사출기 문제 있으면 바로 말하세요.,"Nếu máy ép nhựa có vấn đề, hãy báo ngay.",사출기 문제 있으면 바로 말하세요.,VIT0002,seed_needs_native_field_review
VIS0009,manufacturing_machine,normal,사출기 작업 전 안전 상태를 확인하세요.,"Trước khi làm máy ép nhựa, hãy kiểm tra tình trạng an toàn.",사출기 작업 전 안전 상태를 확인하세요.,VIT0002,seed_needs_native_field_review
VIS0010,manufacturing_machine,normal,사출기 끝나면 관리자에게 보고하세요.,"Khi xong máy ép nhựa, hãy báo cho quản lý.",사출기 끝나면 관리자에게 보고하세요.,VIT0002,seed_needs_native_field_review
VIS0011,manufacturing_machine,normal,사출기는 따로 보관하세요.,Hãy bảo quản riêng máy ép nhựa.,사출기는 따로 보관하세요.,VIT0002,seed_needs_native_field_review
VIS0012,manufacturing_machine,normal,사출기 주변을 정리하세요.,Hãy dọn dẹp xung quanh máy ép nhựa.,사출기 주변을 정리하세요.,VIT0002,seed_needs_native_field_review
VIS0013,manufacturing_machine,normal,컨베이어 확인하고 시작하세요.,Hãy kiểm tra băng tải rồi bắt đầu.,컨베이어 확인하고 시작하세요.,VIT0003,seed_needs_native_field_review
VIS0014,manufacturing_machine,normal,컨베이어 문제 있으면 바로 말하세요.,"Nếu băng tải có vấn đề, hãy báo ngay.",컨베이어 문제 있으면 바로 말하세요.,VIT0003,seed_needs_native_field_review
VIS0015,manufacturing_machine,normal,컨베이어 작업 전 안전 상태를 확인하세요.,"Trước khi làm băng tải, hãy kiểm tra tình trạng an toàn.",컨베이어 작업 전 안전 상태를 확인하세요.,VIT0003,seed_needs_native_field_review
VIS0016,manufacturing_machine,normal,컨베이어 끝나면 관리자에게 보고하세요.,"Khi xong băng tải, hãy báo cho quản lý.",컨베이어 끝나면 관리자에게 보고하세요.,VIT0003,seed_needs_native_field_review
VIS0017,manufacturing_machine,normal,컨베이어는 따로 보관하세요.,Hãy bảo quản riêng băng tải.,컨베이어는 따로 보관하세요.,VIT0003,seed_needs_native_field_review
VIS0018,manufacturing_machine,normal,컨베이어 주변을 정리하세요.,Hãy dọn dẹp xung quanh băng tải.,컨베이어 주변을 정리하세요.,VIT0003,seed_needs_native_field_review
VIS0019,manufacturing_machine,normal,롤러 확인하고 시작하세요.,Hãy kiểm tra con lăn rồi bắt đầu.,롤러 확인하고 시작하세요.,VIT0004,seed_needs_native_field_review
VIS0020,manufacturing_machine,normal,롤러 문제 있으면 바로 말하세요.,"Nếu con lăn có vấn đề, hãy báo ngay.",롤러 문제 있으면 바로 말하세요.,VIT0004,seed_needs_native_field_review
VIS0021,manufacturing_machine,normal,롤러 작업 전 안전 상태를 확인하세요.,"Trước khi làm con lăn, hãy kiểm tra tình trạng an toàn.",롤러 작업 전 안전 상태를 확인하세요.,VIT0004,seed_needs_native_field_review
VIS0022,manufacturing_machine,normal,롤러 끝나면 관리자에게 보고하세요.,"Khi xong con lăn, hãy báo cho quản lý.",롤러 끝나면 관리자에게 보고하세요.,VIT0004,seed_needs_native_field_review
VIS0023,manufacturing_machine,normal,롤러는 따로 보관하세요.,Hãy bảo quản riêng con lăn.,롤러는 따로 보관하세요.,VIT0004,seed_needs_native_field_review
VIS0024,manufacturing_machine,normal,롤러 주변을 정리하세요.,Hãy dọn dẹp xung quanh con lăn.,롤러 주변을 정리하세요.,VIT0004,seed_needs_native_field_review
