id,scenario_type,domain,risk_level,ko,plain_ko,output_channels,translation_status,mvp_note
S001,orientation,general,normal,오늘은 A라인 포장 작업입니다.,오늘 A라인에서 제품을 포장합니다.,subtitle|audio,needs_native_review,Use caption and optional audio.
S002,orientation,general,normal,처음 30분은 옆에서 보고 따라 하세요.,처음에는 다른 사람이 하는 방법을 보고 따라 하세요.,subtitle|audio,needs_native_review,Use caption and optional audio.
S003,orientation,general,normal,모르면 바로 물어보세요.,이해하지 못하면 바로 질문하세요.,subtitle|audio,needs_native_review,Use caption and optional audio.
S004,orientation,general,normal,작업 전에 오늘 일정부터 확인하겠습니다.,일을 시작하기 전에 오늘 할 일을 확인합니다.,subtitle,needs_native_review,Use caption and optional audio.
S005,orientation,general,normal,작업 위치를 바꾸겠습니다.,일하는 장소를 다른 곳으로 바꿉니다.,subtitle|audio,needs_native_review,Use caption and optional audio.
S006,attendance,general,normal,출근하면 먼저 출근 기록을 찍으세요.,회사에 오면 먼저 출근 체크를 하세요.,subtitle,needs_native_review,Use caption and optional audio.
S007,attendance,general,normal,퇴근 전에 정리정돈을 해주세요.,집에 가기 전에 주변을 정리하세요.,subtitle,needs_native_review,Use caption and optional audio.
S008,attendance,general,normal,오늘 잔업이 있습니다.,오늘 정규 근무 후 추가 근무가 있습니다.,subtitle|audio,needs_native_review,Use caption and optional audio.
S009,attendance,general,normal,휴게시간은 10시 30분부터입니다.,쉬는 시간은 10시 30분에 시작합니다.,subtitle,needs_native_review,Use caption and optional audio.
S010,attendance,general,normal,몸이 아프면 관리자에게 말하세요.,아프면 담당자에게 바로 알려주세요.,subtitle|audio,needs_native_review,Use caption and optional audio.
S011,ppe,safety,high,안전모를 쓰세요.,머리를 보호하는 안전모를 착용하세요.,subtitle|audio,needs_native_review,Use caption and optional audio.
S012,ppe,safety,high,안전화 없이는 작업장에 들어오지 마세요.,안전화 착용 전에는 작업장 출입 금지입니다.,subtitle|audio,needs_native_review,Use caption and optional audio.
S013,ppe,safety,high,장갑을 끼고 작업하세요.,손을 보호하기 위해 장갑을 착용하세요.,subtitle|audio,needs_native_review,Use caption and optional audio.
S014,ppe,safety,high,보안경을 착용하세요.,눈을 보호하는 안경을 쓰세요.,subtitle|audio,needs_native_review,Use caption and optional audio.
S015,ppe,safety,high,귀마개를 착용하세요.,소음이 크니 귀 보호구를 쓰세요.,subtitle|audio,needs_native_review,Use caption and optional audio.
S016,ppe,safety,high,마스크를 코까지 올리세요.,마스크가 코와 입을 모두 덮게 하세요.,subtitle|audio,needs_native_review,Use caption and optional audio.
S017,ppe,safety,high,안전대를 걸고 올라가세요.,높은 곳에 올라가기 전에 안전고리를 연결하세요.,subtitle|audio,needs_native_review,Use caption and optional audio.
S018,ppe,safety,high,젖은 장갑으로 전기 작업하지 마세요.,젖은 장갑을 끼고 전기를 만지면 위험합니다.,subtitle|audio,needs_native_review,Use caption and optional audio.
S019,ppe,safety,normal,작업복 소매를 걷거나 묶으세요.,소매가 기계에 말려 들어가지 않게 정리하세요.,subtitle,needs_native_review,Use caption and optional audio.
S020,ppe,safety,normal,목걸이와 반지는 빼고 작업하세요.,장신구가 기계에 걸릴 수 있으니 제거하세요.,subtitle,needs_native_review,Use caption and optional audio.
S021,emergency,safety,critical,멈춰!,즉시 하던 일을 멈추세요.,subtitle|audio|speaker,needs_native_review,Use speaker/audio repeat and large caption.
S022,emergency,safety,critical,뒤로 물러나!,위험하니 바로 뒤로 가세요.,subtitle|audio|speaker,needs_native_review,Use speaker/audio repeat and large caption.
S023,emergency,safety,critical,손 빼!,기계나 물건에서 손을 즉시 빼세요.,subtitle|audio|speaker,needs_native_review,Use speaker/audio repeat and large caption.
S024,emergency,safety,critical,가까이 가지 마세요.,위험 구역에 접근하지 마세요.,subtitle|audio|speaker,needs_native_review,Use speaker/audio repeat and large caption.
S025,emergency,safety,critical,지금 대피하세요.,지금 안전한 곳으로 이동하세요.,subtitle|audio|speaker,needs_native_review,Use speaker/audio repeat and large caption.
S026,emergency,safety,critical,119에 신고하세요.,응급 상황이니 119에 전화하세요.,subtitle|audio|speaker,needs_native_review,Use speaker/audio repeat and large caption.
S027,emergency,safety,critical,비상정지 버튼을 누르세요.,기계를 즉시 멈추는 빨간 버튼을 누르세요.,subtitle|audio|speaker,needs_native_review,Use speaker/audio repeat and large caption.
S028,emergency,safety,critical,전원을 내리세요.,기계나 설비의 전기를 차단하세요.,subtitle|audio|speaker,needs_native_review,Use speaker/audio repeat and large caption.
S029,emergency,safety,critical,사람이 다쳤습니다.,부상자가 있습니다. 도움을 요청하세요.,subtitle|audio|speaker,needs_native_review,Use speaker/audio repeat and large caption.
