id,domain,risk_level,ko,plain_ko,aliases,translation_status,glossary_use
T001,safety,critical,멈춰,즉시 동작을 중단하라는 긴급 지시,정지|스톱,needs_native_review,force_preserve_meaning
T002,safety,critical,위험,사고나 부상이 발생할 수 있는 상태,위험함|위험해,needs_native_review,force_preserve_meaning
T003,safety,critical,대피,위험 장소에서 안전한 곳으로 이동,피난|탈출,needs_native_review,force_preserve_meaning
T004,safety,critical,비상정지,기계나 설비를 긴급하게 정지,긴급정지|이머전시스톱,needs_native_review,force_preserve_meaning
T005,safety,critical,119 신고,응급상황을 소방/구급에 알림,구급신고|소방신고,needs_native_review,force_preserve_meaning
T006,safety,critical,응급실,응급환자를 치료하는 병원 공간,ER|응급센터,needs_native_review,force_preserve_meaning
T007,safety,critical,응급처치,다친 사람에게 즉시 하는 기본 조치,응급조치|구급처치,needs_native_review,force_preserve_meaning
T008,safety,critical,출혈,피가 나는 상태,피남|피가남,needs_native_review,force_preserve_meaning
T009,safety,critical,골절,뼈가 부러진 상태,뼈부러짐,needs_native_review,force_preserve_meaning
T010,safety,critical,화상,뜨거운 것에 피부가 손상됨,데임,needs_native_review,force_preserve_meaning
T011,safety,critical,질식,숨을 쉬기 어려운 상태,숨막힘,needs_native_review,force_preserve_meaning
T012,safety,high,어지러움,머리가 어지러운 증상,현기증,needs_native_review,context_hint
T013,safety,high,두통,머리가 아픈 증상,머리통증,needs_native_review,context_hint
T014,safety,high,복통,배가 아픈 증상,배아픔,needs_native_review,context_hint
T015,safety,high,탈수,몸에 수분이 부족한 상태,물부족,needs_native_review,context_hint
T016,safety,critical,온열질환,더위로 생기는 건강 이상,열사병|일사병,needs_native_review,force_preserve_meaning
T017,safety,critical,저체온증,추위로 체온이 떨어지는 상태,체온저하,needs_native_review,force_preserve_meaning
T018,safety,critical,감전,전기가 몸을 통과해 다치는 사고,전기충격|전기쇼크,needs_native_review,force_preserve_meaning
T019,safety,critical,화재,불이 나는 사고,불남,needs_native_review,force_preserve_meaning
T020,safety,critical,폭발,압력이나 화학반응으로 터지는 사고,터짐,needs_native_review,force_preserve_meaning
T021,safety,critical,추락,높은 곳에서 떨어지는 사고,떨어짐,needs_native_review,force_preserve_meaning
T022,safety,critical,낙하물,위에서 떨어지는 물건,떨어지는물건,needs_native_review,force_preserve_meaning
T023,safety,critical,끼임,몸이 기계나 물체 사이에 끼는 사고,협착|말림,needs_native_review,force_preserve_meaning
T024,safety,high,베임,칼이나 날카로운 물체에 피부가 잘림,절상,needs_native_review,context_hint
T025,safety,critical,절단,신체 일부가 잘리는 사고,절단사고,needs_native_review,force_preserve_meaning
T026,safety,high,찔림,뾰족한 물체에 찔리는 사고,자상,needs_native_review,context_hint
T027,safety,high,미끄럼,바닥에서 미끄러지는 상태,슬립,needs_native_review,context_hint
T028,safety,high,넘어짐,균형을 잃고 넘어지는 사고,전도,needs_native_review,context_hint
T029,safety,high,부딪힘,사람이나 물체와 충돌하는 사고,충돌,needs_native_review,context_hint
T030,safety,high,맞음,날아오거나 떨어진 물체에 맞는 사고,가격,needs_native_review,context_hint
T031,safety,critical,깔림,무거운 물체 아래에 눌리는 사고,압착,needs_native_review,force_preserve_meaning
T032,safety,critical,붕괴,구조물이나 흙이 무너지는 사고,무너짐,needs_native_review,force_preserve_meaning
