id,canonical_ko,variants_ko,domain,risk_level,plain_ko,translate_as_ko,vi,th,id_translation,ne,km,asr_corrections,translation_rule,confidence,needs_field_review
SL001,데스라,데스라|데스리|데쓰리|데스리 난간,construction_slang,high,"난간, 손잡이, 추락을 막는 가드레일을 뜻하는 현장 은어로 추정됩니다.",난간 또는 가드레일,lan can hoặc thanh chắn an toàn,ราวกันตกหรือราวจับนิรภัย,pagar pengaman atau pegangan tangan,सुरक्षा रेलिङ वा समात्ने रेल,របាំងសុវត្ថិភាព ឬ ដៃចាប់,대수라|데쓰라|데스 리,"Do not transliterate. In fall-prevention context, translate as guardrail.",medium_low,true
SL002,스미마끼,스미마끼|스미마키|스미다시|스미내기|먹매김|먹줄,construction_slang,normal,시공 위치를 표시하기 위해 바닥이나 벽에 먹줄/선을 치는 작업입니다.,먹매김 또는 기준선 표시,đánh dấu đường mực/đường chuẩn thi công,ตีเส้นกำหนดแนวงานก่อสร้าง,menandai garis acuan pekerjaan,कामको आधार रेखा चिन्ह लगाउने,គូសខ្សែសម្គាល់ខ្សែមូលដ្ឋានការងារ,수미마끼|스미 막기|스미마키,Translate as layout marking/chalk line marking.,medium,true
SL003,나라시,나라시|나라시 작업|면 고르기|평탄화|레벨링,construction_manufacturing_slang,normal,"바닥, 콘크리트, 흙, 자재 표면 등을 평평하게 고르는 작업입니다.",평탄화 또는 면 고르기,san phẳng hoặc làm phẳng bề mặt,ปรับระดับหรือเกลี่ยพื้นผิวให้เรียบ,meratakan atau menghaluskan permukaan,सतह सम्याउने वा लेभल मिलाउने,កែសម្រួលកម្រិត ឬ ធ្វើឱ្យផ្ទៃរាបស្មើ,나라시해|나라 시|나라씨,"Translate by task: leveling/smoothing. Adapt to concrete, soil, or product-surface context.",high,false
SL004,바라시,바라시|바라시하다|해체|뜯어내기,construction_slang,high,"거푸집, 비계, 설비, 포장 등을 해체하거나 뜯어내는 작업입니다.",해체 또는 제거,tháo dỡ hoặc tháo ra,รื้อถอนหรือถอดออก,membongkar atau melepas,खोल्ने वा हटाउने,រុះរើ ឬ ដោះចេញ,바라시 해|바라시해,"Translate as dismantle/remove, not as scatter.",high,false
SL005,하스리,하스리|하쓰리|치핑|까내기|할석,construction_slang,high,콘크리트나 벽면을 깨거나 까내는 작업입니다.,콘크리트 깨기 또는 표면 까내기,đục phá bê tông hoặc đục bề mặt,สกัดคอนกรีตหรือกะเทาะผิว,memahat/membobok beton atau permukaan,कंक्रिट फोड्ने वा सतह काट्ने,កាប់/ច្រេះបេតុង ឬ ផ្ទៃ,하스리해|하쓰리,Translate as concrete chipping/breaking. Include dust/noise hazard when relevant.,medium,true
SL006,기리바리,기리바리|기리빠리|버팀대|가새|동바리,construction_slang,high,무너지지 않도록 임시로 받치거나 버티는 부재입니다.,임시 버팀대 또는 가새,thanh chống tạm hoặc giằng chống,ค้ำยันชั่วคราวหรือค้ำเฉียง,penyangga sementara atau bracing,अस्थायी टेको वा ब्रेसिङ,ទ្រនាប់បណ្តោះអាសន្ន ឬ ឈើទប់,기리 바리|기리빠리,"Translate as temporary bracing/support. If structural safety context, preserve support/fall-collapse meaning.",medium,true
SL007,아시바,아시바|아시바 비계|비계,construction_slang,critical,높은 곳 작업을 위한 임시 구조물인 비계를 뜻하는 은어입니다.,비계,giàn giáo,นั่งร้าน,perancah,स्क्याफोल्डिङ,រន្ទា,아시봐|아시바,"Translate as scaffold/scaffolding, never as a place name.",high,false
SL008,오야지,오야지|오야|반장|현장반장,site_slang,normal,현장 책임자나 반장을 가리키는 비공식 표현입니다.,현장 반장 또는 책임자,tổ trưởng hoặc người phụ trách hiện trường,หัวหน้างานหรือผู้รับผิดชอบหน้างาน,mandor atau penanggung jawab lapangan,साइट फोरम्यान वा जिम्मेवार व्यक्ति,មេការ ឬ អ្នកទទួលខុសត្រូវការដ្ឋាន,오야지한테|오야한테,Translate neutrally as supervisor/foreman. Avoid slang tone in target language.,high,false
SL009,데모도,데모도|조공|보조공|보조,site_slang,normal,기술자를 보조하는 보조 작업자를 뜻하는 표현입니다.,보조 작업자,thợ phụ hoặc người hỗ trợ,ผู้ช่วยงาน,pekerja pembantu,सहायक कामदार,កម្មករជំនួយ,대모도|데모도,Translate as helper/assistant worker. Avoid demeaning wording.,medium,true
SL010,곰방,곰방|곰방 작업|인력운반|손운반,construction_slang,high,자재나 짐을 사람이 직접 들고 옮기는 작업입니다.,인력 운반,vận chuyển thủ công bằng người,ขนย้ายด้วยแรงคน,pengangkutan manual,मान्छेले बोकेर सार्ने काम,ដឹកជញ្ជូនដោយកម្លាំងមនុស្ស,곰방해|곰 방,Translate as manual carrying/handling. Include heavy-load warning if weight is mentioned.,high,false
