id,domain,risk_level,ko,plain_ko,aliases,vi,th,id_translation,ne,km,manufacturing_context,translation_status
T056,machine,critical,프레스,압력을 가해 찍거나 누르는 기계,프레스기,máy dập,เครื่องปั๊ม,mesin press,प्रेस मेसिन,ម៉ាស៊ីនបុក/ចុច,Translate as manufacturing equipment or machine-part terminology. Prefer literal safety-critical wording over casual wording.,machine_seeded_needs_native_review
T057,machine,critical,사출기,플라스틱을 금형에 넣어 제품을 만드는 기계,인젝션,máy ép nhựa,เครื่องฉีดพลาสติก,mesin injeksi plastik,प्लास्टिक इन्जेक्सन मेसिन,ម៉ាស៊ីនចាក់ប្លាស្ទិក,Translate as manufacturing equipment or machine-part terminology. Prefer literal safety-critical wording over casual wording.,machine_seeded_needs_native_review
T058,machine,critical,컨베이어,물건을 자동으로 이동시키는 벨트 설비,벨트컨베이어,băng tải,สายพานลำเลียง,konveyor,कन्वेयर बेल्ट,ខ្សែបញ្ជូន,Translate as manufacturing equipment or machine-part terminology. Prefer literal safety-critical wording over casual wording.,machine_seeded_needs_native_review
T059,machine,critical,롤러,회전하며 물건을 누르거나 이동시키는 부품,로라,con lăn,ลูกกลิ้ง,rol,रोलर,រ៉ូឡូ,Translate as manufacturing equipment or machine-part terminology. Prefer literal safety-critical wording over casual wording.,machine_seeded_needs_native_review
T060,machine,critical,절단기,물건을 자르는 기계,커터,máy cắt,เครื่องตัด,mesin pemotong,काट्ने मेसिन,ម៉ាស៊ីនកាត់,Translate as manufacturing equipment or machine-part terminology. Prefer literal safety-critical wording over casual wording.,machine_seeded_needs_native_review
T061,machine,critical,파쇄기,물건을 부수는 기계,분쇄기,máy nghiền,เครื่องบด/เครื่องย่อย,mesin penghancur,क्रसर मेसिन,ម៉ាស៊ីនកម្ទេច,Translate as manufacturing equipment or machine-part terminology. Prefer literal safety-critical wording over casual wording.,machine_seeded_needs_native_review
T062,machine,critical,압축기,물건을 눌러 압축하는 기계,프레스압축기,máy ép nén,เครื่องอัด,mesin kompresi,कम्प्रेस गर्ने मेसिन,ម៉ាស៊ីនបង្ហាប់,Translate as manufacturing equipment or machine-part terminology. Prefer literal safety-critical wording over casual wording.,machine_seeded_needs_native_review
T063,machine,critical,혼합기,재료를 섞는 기계,믹서,máy trộn,เครื่องผสม,mesin pencampur,मिक्सर मेसिन,ម៉ាស៊ីនលាយ,Translate as manufacturing equipment or machine-part terminology. Prefer literal safety-critical wording over casual wording.,machine_seeded_needs_native_review
T064,machine,high,포장기,제품을 자동 포장하는 기계,랩핑기,máy đóng gói,เครื่องบรรจุภัณฑ์,mesin pengemas,प्याकिङ मेसिन,ម៉ាស៊ីនវេចខ្ចប់,Translate as manufacturing equipment or machine-part terminology. Prefer literal safety-critical wording over casual wording.,machine_seeded_needs_native_review
T065,machine,high,선반,금속을 깎는 회전 가공 기계,lathe,máy tiện,เครื่องกลึง,mesin bubut,लेथ मेसिन,ម៉ាស៊ីនក្រឡឹង,Translate as manufacturing equipment or machine-part terminology. Prefer literal safety-critical wording over casual wording.,machine_seeded_needs_native_review
T066,machine,high,밀링기,금속을 절삭 가공하는 기계,밀링머신,máy phay,เครื่องกัด,mesin frais,मिलिङ मेसिन,ម៉ាស៊ីនកាត់មីលីង,Translate as manufacturing equipment or machine-part terminology. Prefer literal safety-critical wording over casual wording.,machine_seeded_needs_native_review
T067,machine,high,드릴,구멍을 뚫는 공구,전동드릴,máy khoan,สว่าน,bor,ड्रिल,ម៉ាស៊ីនខួង,Translate as manufacturing equipment or machine-part terminology. Prefer literal safety-critical wording over casual wording.,machine_seeded_needs_native_review
T068,machine,high,그라인더,금속을 갈거나 절단하는 공구,연마기,máy mài,เครื่องเจียร,gerinda,ग्राइन्डर,ម៉ាស៊ីនកិន,Translate as manufacturing equipment or machine-part terminology. Prefer literal safety-critical wording over casual wording.,machine_seeded_needs_native_review
T069,machine,high,톱날,자르는 날이 있는 부품,톱,lưỡi cưa,ใบเลื่อย,mata gergaji,आरा ब्लेड,ផ្លែកាំបិតរណារ,Translate as manufacturing equipment or machine-part terminology. Prefer literal safety-critical wording over casual wording.,machine_seeded_needs_native_review
T070,machine,high,칼날,자르는 날카로운 부품,블레이드,lưỡi dao,ใบมีด,mata pisau,ब्लेड,ផ្លែកាំបិត,Translate as manufacturing equipment or machine-part terminology. Prefer literal safety-critical wording over casual wording.,machine_seeded_needs_native_review
T071,machine,critical,회전체,돌아가는 기계 부품,회전부,bộ phận quay,ชิ้นส่วนหมุน,bagian berputar,घुम्ने भाग,ផ្នែកបង្វិល,Translate as manufacturing equipment or machine-part terminology. Prefer literal safety-critical wording over casual wording.,machine_seeded_needs_native_review
T072,machine,critical,동력전달부,동력을 전달하는 벨트나 체인 부품,구동부,bộ phận truyền động,ส่วนส่งกำลัง,bagian transmisi daya,शक्ति प्रसारण भाग,ផ្នែកបញ្ជូនកម្លាំង,Translate as manufacturing equipment or machine-part terminology. Prefer literal safety-critical wording over casual wording.,machine_seeded_needs_native_review
T073,machine,critical,끼임점,손이나 몸이 끼일 수 있는 위치,협착점,điểm kẹp,จุดหนีบ,titik jepit,च्यापिने बिन्दु,ចំណុចគៀប,Translate as manufacturing equipment or machine-part terminology. Prefer literal safety-critical wording over casual wording.,machine_seeded_needs_native_review
T074,machine,high,방호덮개,위험 부위를 덮는 보호 장치,안전커버,nắp che bảo vệ,ฝาครอบนิรภัย,penutup pelindung,सुरक्षा कभर,គម្របការពារ,Translate as manufacturing equipment or machine-part terminology. Prefer literal safety-critical wording over casual wording.,machine_seeded_needs_native_review
T075,machine,high,인터록,문이 열리면 기계가 멈추는 안전장치,연동장치,khóa liên động an toàn,ระบบอินเตอร์ล็อก,interlock keselamatan,सेफ्टी इन्टरलक,ប្រព័ន្ធអ៊ីនធឺឡក់សុវត្ថិភាព,Translate as manufacturing equipment or machine-part terminology. Prefer literal safety-critical wording over casual wording.,machine_seeded_needs_native_review
T076,machine,high,센서,위치나 사람을 감지하는 장치,감지기,cảm biến,เซนเซอร์,sensor,सेन्सर,ឧបករណ៍ចាប់សញ្ញា,Translate as manufacturing equipment or machine-part terminology. Prefer literal safety-critical wording over casual wording.,machine_seeded_needs_native_review
T077,machine,high,비상정지버튼,기계를 급히 멈추는 버튼,이머전시버튼,nút dừng khẩn cấp,ปุ่มหยุดฉุกเฉิน,tombol berhenti darurat,आपतकालीन रोक्ने बटन,ប៊ូតុងបញ្ឈប់បន្ទាន់,Translate as manufacturing equipment or machine-part terminology. Prefer literal safety-critical wording over casual wording.,machine_seeded_needs_native_review
