id,domain,risk_level,slang_sentence_ko,normalized_ko,term_refs,translation_note,output_channels,status
SS001,construction,high,데스라 먼저 설치하고 올라가세요.,난간 또는 가드레일을 먼저 설치한 뒤 올라가세요.,SL001,추락 방지 맥락에서는 데스라를 가드레일로 번역,subtitle|audio,seed_needs_field_review
SS002,construction,high,데스리 없는 쪽으로 가지 마세요.,난간이 없는 쪽으로 가지 마세요.,SL001,없는 쪽/가까이 가지 말라는 금지 지시,subtitle|audio,seed_needs_field_review
SS003,construction,normal,스미마끼 끝나면 철근 배근 시작하세요.,기준선 표시가 끝나면 철근 배근을 시작하세요.,SL002,스미마끼를 layout marking으로 번역,subtitle|audio,seed_needs_field_review
SS004,construction,normal,먹 놓은 선 밖으로 나가면 안 됩니다.,먹줄로 표시한 기준선 밖으로 나가면 안 됩니다.,SL037,먹놓다와 스미마끼를 같은 계열로 연결,subtitle|audio,seed_needs_field_review
SS005,construction,normal,바닥 나라시 다시 해 주세요.,바닥 면을 다시 평평하게 고르세요.,SL003,나라시를 leveling/smoothing으로 번역,subtitle|audio,seed_needs_field_review
SS006,construction,normal,콘크리트 타설 후 나라시 잘 봐 주세요.,콘크리트를 부은 뒤 표면 평탄화를 잘 확인하세요.,SL003|SL017,콘크리트 문맥,subtitle|audio,seed_needs_field_review
SS007,construction,high,거푸집 바라시할 때 밑에 사람 있는지 확인하세요.,거푸집 해체 전에 아래에 사람이 있는지 확인하세요.,SL004,해체 작업 안전,subtitle|audio,seed_needs_field_review
SS008,construction,high,비계 바라시 중에는 접근하지 마세요.,비계 해체 중에는 가까이 가지 마세요.,SL004|SL007,해체와 접근금지,subtitle|audio,seed_needs_field_review
SS009,construction,high,하스리 작업이라 보안경과 마스크 꼭 착용하세요.,콘크리트 깨기 작업이니 보안경과 마스크를 반드시 착용하세요.,SL005,분진/비산 위험,subtitle|audio,seed_needs_field_review
SS010,construction,high,기리바리 빼기 전에 관리자에게 확인받으세요.,임시 버팀대를 제거하기 전에 관리자 확인을 받으세요.,SL006|SL050,구조 지지 해제 위험,subtitle|audio,seed_needs_field_review
SS011,construction,critical,아시바 위에서는 안전대를 걸고 작업하세요.,비계 위에서는 안전대를 연결하고 작업하세요.,SL007|SL047,비계+안전대,subtitle|audio|speaker,seed_needs_field_review
SS012,general,normal,오야지한테 먼저 보고하고 시작하세요.,현장 반장에게 먼저 보고하고 시작하세요.,SL008,비공식 호칭을 중립 번역,subtitle|audio,seed_needs_field_review
SS013,general,normal,데모도 한 명 더 붙여 주세요.,보조 작업자 한 명을 더 배치해 주세요.,SL009,비하감 없이 helper로 번역,subtitle|audio,seed_needs_field_review
SS014,construction,high,곰방할 때 허리 조심하고 둘이 들어요.,인력 운반할 때 허리를 조심하고 두 사람이 함께 드세요.,SL010,중량물 수작업,subtitle|audio,seed_needs_field_review
SS015,general,normal,작업 전에 단도리부터 하세요.,작업 전에 준비부터 하세요.,SL011,준비/세팅,subtitle|audio,seed_needs_field_review
SS016,general,normal,오늘은 여기까지 시마이합시다.,오늘은 여기까지 작업을 마무리합시다.,SL012,작업 종료,subtitle|audio,seed_needs_field_review
SS017,construction,normal,치수에 유도리 조금 주세요.,치수에 약간의 여유를 주세요.,SL013,허용오차/여유,subtitle|audio,seed_needs_field_review
SS018,logistics,high,구루마에 너무 많이 싣지 마세요.,손수레에 물건을 너무 많이 싣지 마세요.,SL014,운반 안전,subtitle|audio,seed_needs_field_review
