id,canonical_ko,vi,variants_ko,asr_likely_misrecognitions,normalized_translation_rule,status
VIV0001,오야지,tổ trưởng/giám sát hiện trường,오야지|오야지해|오야지 하세요|오야지 좀 해|오야지 먼저|오야지 끝나면 보고|오야지 작업|오야지 봐|오야지 다시|오야지 조심|오야지 하지 마,오야지|오야지해|오야지 하세요|오야지 좀 해|오야지 먼저|오야지 끝나면 보고,은어 발음을 음차하지 말고 표준 의미로 정규화한 뒤 베트남어로 번역,seed_needs_field_review
VIV0002,데모도,thợ phụ,데모도|데모도해|데모도 하세요|데모도 좀 해|데모도 먼저|데모도 끝나면 보고|데모도 작업|데모도 봐|데모도 다시|데모도 조심|데모도 하지 마,데모도|데모도해|데모도 하세요|데모도 좀 해|데모도 먼저|데모도 끝나면 보고,은어 발음을 음차하지 말고 표준 의미로 정규화한 뒤 베트남어로 번역,seed_needs_field_review
VIV0003,곰방,vận chuyển thủ công,곰방|곰방해|곰방 하세요|곰방 좀 해|곰방 먼저|곰방 끝나면 보고|곰방 작업|곰방 봐|곰방 다시|곰방 조심|곰방 하지 마,곰방|곰방해|곰방 하세요|곰방 좀 해|곰방 먼저|곰방 끝나면 보고,은어 발음을 음차하지 말고 표준 의미로 정규화한 뒤 베트남어로 번역,seed_needs_field_review
VIV0004,단도리,chuẩn bị công việc,단도리|단도리해|단도리 하세요|단도리 좀 해|단도리 먼저|단도리 끝나면 보고|단도리 작업|단도리 봐|단도리 다시|단도리 조심|단도리 하지 마,단도리|단도리해|단도리 하세요|단도리 좀 해|단도리 먼저|단도리 끝나면 보고,은어 발음을 음차하지 말고 표준 의미로 정규화한 뒤 베트남어로 번역,seed_needs_field_review
VIV0005,시마이,kết thúc công việc,시마이|시마이해|시마이 하세요|시마이 좀 해|시마이 먼저|시마이 끝나면 보고|시마이 작업|시마이 봐|시마이 다시|시마이 조심|시마이 하지 마,씨마이|씨마이해|씨마이 하세요|씨마이 좀 해|씨마이 먼저|씨마이 끝나면 보고,은어 발음을 음차하지 말고 표준 의미로 정규화한 뒤 베트남어로 번역,seed_needs_field_review
VIV0006,유도리,khoảng dư hoặc linh hoạt,유도리|유도리해|유도리 하세요|유도리 좀 해|유도리 먼저|유도리 끝나면 보고|유도리 작업|유도리 봐|유도리 다시|유도리 조심|유도리 하지 마,유도리|유도리해|유도리 하세요|유도리 좀 해|유도리 먼저|유도리 끝나면 보고,은어 발음을 음차하지 말고 표준 의미로 정규화한 뒤 베트남어로 번역,seed_needs_field_review
VIV0007,빠루,xà beng,빠루|빠루해|빠루 하세요|빠루 좀 해|빠루 먼저|빠루 끝나면 보고|빠루 작업|빠루 봐|빠루 다시|빠루 조심|빠루 하지 마,빠루|빠루해|빠루 하세요|빠루 좀 해|빠루 먼저|빠루 끝나면 보고,은어 발음을 음차하지 말고 표준 의미로 정규화한 뒤 베트남어로 번역,seed_needs_field_review
VIV0008,가다,khuôn mẫu/mẫu chuẩn,가다|가다해|가다 하세요|가다 좀 해|가다 먼저|가다 끝나면 보고|가다 작업|가다 봐|가다 다시|가다 조심|가다 하지 마,가다|가다해|가다 하세요|가다 좀 해|가다 먼저|가다 끝나면 보고,은어 발음을 음차하지 말고 표준 의미로 정규화한 뒤 베트남어로 번역,seed_needs_field_review
VIV0009,빵꾸,lỗ thủng hoặc thiếu người,빵꾸|빵꾸해|빵꾸 하세요|빵꾸 좀 해|빵꾸 먼저|빵꾸 끝나면 보고|빵꾸 작업|빵꾸 봐|빵꾸 다시|빵꾸 조심|빵꾸 하지 마,빵꾸|빵꾸해|빵꾸 하세요|빵꾸 좀 해|빵꾸 먼저|빵꾸 끝나면 보고,은어 발음을 음차하지 말고 표준 의미로 정규화한 뒤 베트남어로 번역,seed_needs_field_review
VIV0010,빠꾸,trả lại/quay lại/làm lại,빠꾸|빠꾸해|빠꾸 하세요|빠꾸 좀 해|빠꾸 먼저|빠꾸 끝나면 보고|빠꾸 작업|빠꾸 봐|빠꾸 다시|빠꾸 조심|빠꾸 하지 마,빠꾸|빠꾸해|빠꾸 하세요|빠꾸 좀 해|빠꾸 먼저|빠꾸 끝나면 보고,은어 발음을 음차하지 말고 표준 의미로 정규화한 뒤 베트남어로 번역,seed_needs_field_review
VIV0011,땜빵,thay thế tạm thời,땜빵|땜빵해|땜빵 하세요|땜빵 좀 해|땜빵 먼저|땜빵 끝나면 보고|땜빵 작업|땜빵 봐|땜빵 다시|땜빵 조심|땜빵 하지 마,땜빵|땜빵해|땜빵 하세요|땜빵 좀 해|땜빵 먼저|땜빵 끝나면 보고,은어 발음을 음차하지 말고 표준 의미로 정규화한 뒤 베트남어로 번역,seed_needs_field_review
VIV0012,야리끼리,xong khối lượng thì nghỉ,야리끼리|야리끼리해|야리끼리 하세요|야리끼리 좀 해|야리끼리 먼저|야리끼리 끝나면 보고|야리끼리 작업|야리끼리 봐|야리끼리 다시|야리끼리 조심|야리끼리 하지 마,야리끼리|야리끼리해|야리끼리 하세요|야리끼리 좀 해|야리끼리 먼저|야리끼리 끝나면 보고,은어 발음을 음차하지 말고 표준 의미로 정규화한 뒤 베트남어로 번역,seed_needs_field_review
VIV0013,함바,nhà ăn công trường,함바|함바해|함바 하세요|함바 좀 해|함바 먼저|함바 끝나면 보고|함바 작업|함바 봐|함바 다시|함바 조심|함바 하지 마,함봐|함봐해|함봐 하세요|함봐 좀 해|함봐 먼저|함봐 끝나면 보고,은어 발음을 음차하지 말고 표준 의미로 정규화한 뒤 베트남어로 번역,seed_needs_field_review
